Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 15 running estimator on chunk 16650000 - 16660000
Process 15 running estimator on chunk 16950000 - 16960000
Process 15 running estimator on chunk 17250000 - 17260000
Process 15 running estimator on chunk 17550000 - 17560000
Process 15 running estimator on chunk 17850000 - 17860000
Process 15 running estimator on chunk 18150000 - 18160000
Process 15 running estimator on chunk 18450000 - 18460000
Process 15 running estimator on chunk 18750000 - 18760000
Process 15 running estimator on chunk 19050000 - 19060000
Process 15 running estimator on chunk 19350000 - 19360000
Process 15 running estimator on chunk 19650000 - 19660000
Process 15 running estimator on chunk 19950000 - 19960000
Process 15 running estimator on chunk 20250000 - 20260000
Process 15 running estimator on chunk 20550000 - 20560000
Process 15 running estimator on chunk 20850000 - 20860000
Process 15 running estimator on chunk 21150000 - 21160000
Process 15 running estimator on chunk 21450000 - 21460000
Process 15 running estimator on chunk 21750000 - 21760000
Process 15 running estimator on chunk 22050000 - 22060000
Process 15 running estimator on chunk 22350000 - 22360000
Process 15 running estimator on chunk 22650000 - 22660000
Process 15 running estimator on chunk 22950000 - 22960000
Process 15 running estimator on chunk 23250000 - 23260000
Process 15 running estimator on chunk 23550000 - 23560000
Process 15 running estimator on chunk 23850000 - 23860000
Process 15 running estimator on chunk 24150000 - 24160000
Process 15 running estimator on chunk 24450000 - 24460000
Process 15 running estimator on chunk 24750000 - 24760000
Process 15 running estimator on chunk 25050000 - 25060000
Process 15 running estimator on chunk 25350000 - 25360000
Process 15 running estimator on chunk 25650000 - 25660000
Process 15 running estimator on chunk 25950000 - 25960000
Process 15 running estimator on chunk 26250000 - 26260000
Process 15 running estimator on chunk 26550000 - 26560000
Process 15 running estimator on chunk 26850000 - 26860000
Process 15 running estimator on chunk 27150000 - 27160000
Process 15 running estimator on chunk 27450000 - 27460000
Process 15 running estimator on chunk 27750000 - 27760000
Process 15 running estimator on chunk 28050000 - 28060000
Process 15 running estimator on chunk 28350000 - 28360000
Process 15 running estimator on chunk 28650000 - 28660000
Process 15 running estimator on chunk 28950000 - 28960000
Process 15 running estimator on chunk 29250000 - 29260000
Process 15 running estimator on chunk 29550000 - 29560000
